01	2fq9wYslV0A	3773	Lecture 1: Introduction
02	pdqofxJeBN8	4022	Lecture 2: Image Classification with Linear Classifiers
03	dyNGd06MWn4	4119	Lecture 3: Regularization and Optimization
04	25zD5qJHYsk	4607	Lecture 4: Neural Networks and Backpropagation
05	f3g1zGdxptI	4084	Lecture 5: Image Classification with CNNs
06	aVJy4O5TOk8	4267	Lecture 6: CNN Architectures
07	kG2lAPBF7zA	4308	Lecture 7: Recurrent Neural Networks
08	RQowiOF_FvQ	3991	Lecture 8: Attention and Transformers
09	PTypu6GqEd4	4424	Lecture 9: Object Detection, Image Segmentation, Visualizing
10	wElqklprhPE	4125	Lecture 10: Video Understanding
11	9MvD-XsowsE	4373	Lecture 11: Large Scale Distributed Training
12	4howBU7THbM	4482	Lecture 12: Self-Supervised Learning
13	zbHXQRUNlH0	4351	Lecture 13: Generative Models 1
14	Edr4uZFh4EE	4329	Lecture 14: Generative Models 2
15	7lxrKDKtykM	4310	Lecture 15: 3D Vision
16	mQOK0Mfyrkk	4194	Lecture 16: Vision and Language
17	XSfmOH_xVSU	4713	Lecture 17: Robot Learning
18	g8UaBfj6Sh8	3916	Lecture 18: Human-Centered AI
